Registration Number,Name,Relation,Date Missing From,Last seen,mobile numbers,age,Languages Known,District,Police Station AreaArea,Case Registered,Mental Health Status,Person Image web Link
13347,Jithender Prajapathi,S/o. Bheraram Prajapathi,01-01-2026,From home,"871266265, 8712660534",32,"Hindi, Marwadi",Hyderabad,Afzalgunj,117/2026,Normal,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773647395.jpg
13346,Manimala,D/o. Thipanna,02-01-2026,From home,"9700760432, 8712665189",18,"Telugu, English",Hyderabad,Borabanda,146/2026,Normal,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773818238.jpg
13345,Prabh Dayal Sharma,S/o. Shanak Sharma,03-01-2026,From home,97979 46555,90,Hindi,Hyderabad,Jammu,./2026,Normal,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773578091.jpg
13344,Kamini Anjaiah,S/o. Ramaiah,04-01-2026,Saroor nagar limits,"9908749110, 9391389377",45,Telugu,R.R.Dist,,,Mentally disable,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773576919.jpg
13343,OO O,O,05-01-2026,O,0,72,"Telugu, Hindi",Hyderabad,,,Alzimer,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773906260.jpg
13342,Karan Iyer,H/o. Neha Reddy,05-04-2025,Railway Station,9832280853,10,"Hindi, English",Delhi,Madhapur,151/2025,Normal,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773576919.jpg
13341,Neha Reddy,Sister of Suresh Patel,21-12-2025,School,9462823469,19,Hindi,Pune,Banjara Hills,85/2025,Depressed,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773578091.jpg
13340,Jithender Reddy,Sister of Jithender Iyer,07-07-2025,Market,9541182365,60,"Telugu, English",Medchal,Afzalgunj,157/2025,Normal,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773647395.jpg
13339,Sneha Iyer,D/o. Priya Prajapathi,17-02-2025,Market,9684392285,43,Hindi,Medchal,Kukatpally,167/2025,Normal,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773818238.jpg
13338,Manimala Gupta,W/o. Vikram Iyer,02-01-2025,From home,9919053011,84,Hindi,Medchal,Banjara Hills,213/2025,Normal,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773647395.jpg
13337,Anita Sharma,S/o. Jithender Rao,13-01-2025,From home,9254583919,66,English,R.R.Dist,Madhapur,218/2025,Mentally disable,https://unknownbodies.org/wp-content/uploads/shfimages/missings/1773576919.jpg
